object,view,step,envmap,psnr,ssim,lpips
GothicCommode_01,00036,6,GothicCommode_01_env_2,17.312302,0.5792204737663269,0.4083775579929352
GothicCommode_01,00036,7,GothicCommode_01_env_1,12.303707,0.4715997576713562,0.5178255438804626
GothicCommode_01,00036,8,GothicCommode_01_env_2,13.546698,0.4593072831630707,0.5284475088119507
GothicCommode_01,00036,9,GothicCommode_01_env_2,12.5928955,0.4424421787261963,0.5557928681373596
GothicCommode_01,00036,10,GothicCommode_01_env_2,11.81533,0.42917460203170776,0.5794063806533813
GothicCommode_01,00036,11,GothicCommode_01_env_2,11.161298,0.4182327687740326,0.6015810966491699
GothicCommode_01,00036,12,GothicCommode_01_env_0,7.8610897,0.3459225296974182,0.6496015787124634
GothicCommode_01,00036,13,GothicCommode_01_env_2,9.923176,0.3789960741996765,0.655139684677124
GothicCommode_01,00036,14,GothicCommode_01_env_1,7.4283214,0.3446044325828552,0.716001033782959
GothicCommode_01,00036,15,GothicCommode_01_env_0,6.9000764,0.32583242654800415,0.699884831905365
GothicCommode_01,00036,16,GothicCommode_01_env_1,6.9080615,0.3249613046646118,0.7299636602401733
GothicCommode_01,00036,17,GothicCommode_01_env_1,6.733324,0.31649622321128845,0.7290735840797424
GothicCommode_01,00036,18,GothicCommode_01_env_1,6.5826473,0.30950361490249634,0.7290835976600647
GothicCommode_01,00036,19,GothicCommode_01_env_1,6.449866,0.3038156032562256,0.731218695640564
GreenChair_01,00050,0,GreenChair_01_env_2,29.30298,0.9680735468864441,0.021091360598802567
GreenChair_01,00050,1,GreenChair_01_env_0,25.865183,0.9399223327636719,0.039588119834661484
GreenChair_01,00050,2,GreenChair_01_env_2,24.786583,0.9483884572982788,0.042004819959402084
GreenChair_01,00050,3,GreenChair_01_env_2,24.421797,0.9395079612731934,0.05080470070242882
GreenChair_01,00050,4,GreenChair_01_env_0,23.195055,0.9106928706169128,0.06877554953098297
GreenChair_01,00050,5,GreenChair_01_env_0,22.60577,0.9033070802688599,0.07940469682216644
GreenChair_01,00050,6,GreenChair_01_env_2,22.096663,0.9009907245635986,0.09145162254571915
GreenChair_01,00050,7,GreenChair_01_env_1,18.739067,0.8485585451126099,0.1582668125629425
GreenChair_01,00050,8,GreenChair_01_env_2,16.694378,0.6814588904380798,0.4300535023212433
GreenChair_01,00050,9,GreenChair_01_env_2,13.000267,0.5465750098228455,0.573042631149292
GreenChair_01,00050,10,GreenChair_01_env_2,11.747121,0.5246524810791016,0.6018233895301819
GreenChair_01,00050,11,GreenChair_01_env_2,10.917397,0.5128190517425537,0.6267502903938293
GreenChair_01,00050,12,GreenChair_01_env_0,10.468402,0.5121099352836609,0.6494774222373962
GreenChair_01,00050,13,GreenChair_01_env_2,9.661529,0.5116079449653625,0.6703701019287109
GreenChair_01,00050,14,GreenChair_01_env_1,9.470526,0.5068151950836182,0.6956546306610107
GreenChair_01,00050,15,GreenChair_01_env_0,9.1340685,0.5117629766464233,0.6941176652908325
GreenChair_01,00050,16,GreenChair_01_env_1,8.899849,0.5060679316520691,0.7187981009483337
